Model,line 1,line 2
plural11,"Top 60""w X 42""h X 6""d","Base 84""w X 6""h X 12""d"
standard_18x18,"Top 18""w X 18""h X 6""d","Base 30""w X 6""h X 10""d"
standard_24x24,"Top 24""w X 24""h X 6""d","Base 36""w X 6""h X 12""d"
standard_24x30,"Top 24""w X 30""h X 6""d","Base 36""w X 6""h X 12""d"
standard_42x24,"Top 42""w X 24""h X 6""d","Base 54""w X 6""h X 12""d"
standard_48x24,"Top 48""w X 24""h X 6""d","Base 66""w X 6""h X 12""d"
standard_60x30,"Top 60""w X 30""h X 8""d","Base 82""w X 8""h X 14""d"
standard_72x32,"Top 72""w X 32""h X 8""d","Base 82""w X 8""h X 14""d"
statue01,"Top 30""w X 30""h X 8""d","Base 36""w X 8""h X 14""d"
statue02,"Top 30""w X 36""h X 8""d","Base 36""w X 8""h X 12""d"
statue03,"Top 32""w X 34""h X 8""d","Base 36""w X 8""h X 12""d"
statue04,"Top 55""w X 32""h X 8""d","Base 66""w X 8""h X 12""d"
statue05,"Top 36""w X 39""h X 8""d","Base 48""w X 8""h X 14""d"
statue06,"Top 24""w X 24""h X 8""d","Base 36""w X 12""h X 12""d"
statue07,"Top 32""w X 42""h X 6""d","Base 36""w X 6""h X 12""d"
statue08,"Top 24""w X 40""h X 6""d","Base 36""w X 6""h X 12""d"
statue09,"Top 24""w X 40""h X 6""d","Base 36""w X 6""h X 12""d"
statue10,"Top 24""w X 38""h X 6""d","Base 36""w X 6""h X 12""d"
statue11,"Top 24""w X 42""h X 6""d","Base 36""w X 6""h X 12""d"
statue12,"Top 24""w X 34""h X 6""d","Base 36""w X 6""h X 12""d"
statue13,"Top 30""w X 28""h X 8""d","Base 36""w X 6""h X 12""d"
statue14,"Top 26""w X 32""h X 6""d","Base 36""w X 6""h X 12""d"
statue15,"Top 26""w X 32""h X 6""d","Base 36""w X 6""h X 12""d"
statue16,"Top 24""w X 36""h X 6""d","Base 36""w X 6""h X 12""d"
statue17,"Top 30""w X 37""h X 6""d","Base 36""w X 6""h X 12""d"
statue18,"Top 36""w X 36""h X 6""d","Base 36""w X 6""h X 12""d"
statue19,"Top 28""w X 30""h X 6""d","Base 36""w X 6""h X 12""d"
statue19D,"Top 48""w X 36""h X 6""d","Base 60""w X 6""h X 12""d"
statue20,"Top 30""w X 30""h X 8""d","Base 36""w X 8""h X 12""d"
statue21,"Top 28""w X 40""h X 8""d","Base 36""w X 8""h X 14""d"
statue21D,"Top 36""w X 48""h X 8""d","Base 48""w X 8""h X 14""d"
statue22,"16""w X 39""h X 36""d",
statue23,"Top 48""w X 68""h X 8""d","Base 84""w X 22""h X 20""d"
statue24,"Top 48""w X 53""h X 8""d","Base 66""w X 8""h X 14""d"
statue25,"Top 41""w X 36""h X 8""d","Base 54""w X 8""h X 14""d"
statue26,"Top 42""w X 15""h X 14""d","Base 72""w X 9""h X 44""d"
statue27,"Top 36""w X 48""h X 8""d","Base 54""w X 8""h X 14""d"
statue28,"Top 48""w X 60""h X 8""d","Base 66""w X 8""h X 14""d"
statue29,"Top 65""w X 48""h X 8""d","Base 84""w X 8""h X 14""d"
